,Header,Title,Timestamp,search_string,Search Engine,News link
0,Gadgets 360,"AI Powers Microsoft to $3 Trillion Market Value, Second to Apple",2024-01-25 17:40:48.995997,AppleStock Price,YAHOO,https://www.gadgets360.com/internet/news/microsoft-usd-3-trillion-market-value-ai-openai-chatgpt-apple-4930306
1,Business Insider India,"Microsoft now a $3 trillion company, second after Apple",2024-01-25 10:40:49.011673,AppleStock Price,YAHOO,https://www.businessinsider.in/business/news/microsoft-now-a-3-trillion-company-second-after-apple/articleshow/107133467.cms
2,Livemint,Indian stock market: 7 key things that changed for market overnight,2024-01-25 07:40:49.011673,AppleStock Price,YAHOO,https://www.livemint.com/market/stock-market-news/indian-stock-market-7-key-things-that-changed-for-market-overnight-gift-nifty-us-business-activity-to-oil-prices-11706147162392.html
3,The Times of India,Microsoft briefly overtakes Apple as world's most valuable company with $3 trillion valuation | -...,2024-01-25 12:40:49.011673,AppleStock Price,YAHOO,https://timesofindia.indiatimes.com/gadgets-news/microsoft-briefly-overtakes-apple-as-worlds-most-valuable-company-with-3-trillion-valuation/articleshow/107137643.cms
4,Mashable India,"Microsoft Breaks Into The Three Trillion-Dollar Club, Nearing Apple's Market Dominance",2024-01-25 10:40:49.029522,AppleStock Price,YAHOO,https://in.mashable.com/tech/68265/microsoft-breaks-into-the-three-trillion-dollar-club-nearing-apples-market-dominance
5,News18,Want Apple Vision Pro At Launch? Be Ready To Pay Twice The RetailPrice - Here's Why - News18,2024-01-22 19:40:49.029522,AppleStock Price,YAHOO,https://www.news18.com/tech/want-apple-vision-pro-at-launch-be-ready-to-pay-twice-the-retail-price-heres-why-8749492.html
6,Livemint,"AI race propels Microsoft, Meta, and Google to new highs. Here's why",2024-01-25 11:40:49.029522,AppleStock Price,YAHOO,https://www.livemint.com/companies/news/ai-race-propels-silicon-valley-tech-firms-microsoft-meta-and-google-to-new-highs-heres-why-11706157543757.html
7,DNA India,"Microsoft’s market cap breaches 300000 crore dollar mark, becomes second company to do so after…",2024-01-25 10:40:49.043036,AppleStock Price,YAHOO,https://www.dnaindia.com/business/report-microsoft-s-market-cap-breaches-300000-crore-dollar-mark-becomes-second-company-to-do-so-after-3075553
8,Livemint,Spotify's victory: Audiobooks and in-app subscriptions to roll out in March,2024-01-25 11:40:49.044046,AppleStock Price,YAHOO,https://www.livemint.com/technology/tech-news/spotify-takes-on-apple-audiobooks-and-subscriptions-available-in-app-bypassing-30-fee-11706161723823.html
9,Livemint,"Flipkart Republic Day Sale: iPhone 15 available under ₹45,000. Here's how to a",2024-01-19 19:40:49.044046,AppleStock Price,YAHOO,https://www.livemint.com/technology/gadgets/flipkart-republic-day-sale-iphone-15-available-under-rs-45-000-heres-how-to-avail-the-offer-11705632119869.html
10,Gadgets 360,"AI Powers Microsoft to $3 Trillion Market Value, Second to Apple",2024-01-25 17:40:49.044046,AppleStock Price,YAHOO,https://www.gadgets360.com/internet/news/microsoft-usd-3-trillion-market-value-ai-openai-chatgpt-apple-4930306
11,Business Insider India,"Microsoft now a $3 trillion company, second after Apple",2024-01-25 10:40:49.059075,AppleStock Price,YAHOO,https://www.businessinsider.in/business/news/microsoft-now-a-3-trillion-company-second-after-apple/articleshow/107133467.cms
12,Livemint,Indian stock market: 7 key things that changed for market overnight,2024-01-25 07:40:49.059075,AppleStock Price,YAHOO,https://www.livemint.com/market/stock-market-news/indian-stock-market-7-key-things-that-changed-for-market-overnight-gift-nifty-us-business-activity-to-oil-prices-11706147162392.html
13,The Times of India,Microsoft briefly overtakes Apple as world's most valuable company with $3 trillion valuation | -...,2024-01-25 12:40:49.059075,AppleStock Price,YAHOO,https://timesofindia.indiatimes.com/gadgets-news/microsoft-briefly-overtakes-apple-as-worlds-most-valuable-company-with-3-trillion-valuation/articleshow/107137643.cms
14,Mashable India,"Microsoft Breaks Into The Three Trillion-Dollar Club, Nearing Apple's Market Dominance",2024-01-25 10:40:49.059075,AppleStock Price,YAHOO,https://in.mashable.com/tech/68265/microsoft-breaks-into-the-three-trillion-dollar-club-nearing-apples-market-dominance
15,News18,Want Apple Vision Pro At Launch? Be Ready To Pay Twice The RetailPrice - Here's Why - News18,2024-01-22 19:40:49.074705,AppleStock Price,YAHOO,https://www.news18.com/tech/want-apple-vision-pro-at-launch-be-ready-to-pay-twice-the-retail-price-heres-why-8749492.html
16,Livemint,"AI race propels Microsoft, Meta, and Google to new highs. Here's why",2024-01-25 11:40:49.074705,AppleStock Price,YAHOO,https://www.livemint.com/companies/news/ai-race-propels-silicon-valley-tech-firms-microsoft-meta-and-google-to-new-highs-heres-why-11706157543757.html
17,DNA India,"Microsoft’s market cap breaches 300000 crore dollar mark, becomes second company to do so after…",2024-01-25 10:40:49.074705,AppleStock Price,YAHOO,https://www.dnaindia.com/business/report-microsoft-s-market-cap-breaches-300000-crore-dollar-mark-becomes-second-company-to-do-so-after-3075553
